Client_ID,Sector,Country,Loan_Amount_USD,Environmental_Risk,Social_Risk,HSE_Compliance,ESAP_Status,Green_Finance_Tag,E_Risk_Score,S_Risk_Score,Total_ESG_Risk_Score,High_Risk_Flag
C001,Construction,Uganda,2214367,Medium,Low,Yes,Not Started,Yes,2,1,3,No
C002,Services,Tanzania,1954050,Low,Medium,No,Not Started,Yes,1,2,3,No
C003,Energy,Kenya,194356,High,Low,Yes,Closed,No,3,1,4,No
C004,Services,Kenya,4448165,High,Low,Yes,In Progress,No,3,1,4,No
C005,Services,Rwanda,3149320,Medium,Medium,Yes,Not Started,Yes,2,2,4,No
C006,Manufacturing,Tanzania,405612,Medium,Low,Yes,Closed,No,2,1,3,No
C007,Energy,DRC,3650333,Low,Low,Yes,Closed,Yes,1,1,2,No
C008,Energy,Tanzania,59435,High,Low,Yes,Closed,No,3,1,4,No
C009,Energy,Rwanda,4691860,Medium,Low,Yes,Closed,No,2,1,3,No
C010,Services,Rwanda,1798014,Low,High,No,Not Started,No,1,3,4,No
C011,Construction,Tanzania,3771309,High,Low,No,In Progress,No,3,1,4,No
C012,Energy,Rwanda,4323085,High,High,Yes,Closed,No,3,3,6,Yes
C013,Services,Tanzania,2338627,High,Low,Yes,In Progress,No,3,1,4,No
C014,Manufacturing,Uganda,814121,Medium,Medium,Yes,Not Started,No,2,2,4,No
C015,Construction,Tanzania,1219748,Medium,Medium,Yes,Closed,Yes,2,2,4,No
C016,Manufacturing,Tanzania,3552630,Medium,Medium,Yes,Not Started,No,2,2,4,No
C017,Construction,Rwanda,2632115,High,Low,Yes,Not Started,No,3,1,4,No
C018,Services,Rwanda,1157677,High,Low,Yes,In Progress,No,3,1,4,No
C019,Agribusiness,Kenya,338790,Low,Low,Yes,In Progress,No,1,1,2,No
C020,Construction,Kenya,2694489,Low,High,Yes,In Progress,No,1,3,4,No
C021,Manufacturing,Uganda,1458836,Low,High,Yes,Not Started,No,1,3,4,No
C022,Services,Kenya,1691249,High,High,No,Closed,No,3,3,6,Yes
C023,Construction,Tanzania,4894723,High,Low,No,Not Started,Yes,3,1,4,No
C024,Agribusiness,Rwanda,3743305,Low,Medium,Yes,Not Started,Yes,1,2,3,No
C025,Agribusiness,Kenya,4516271,Medium,High,No,Closed,Yes,2,3,5,Yes
C026,Energy,Kenya,4435536,Low,Low,Yes,Closed,Yes,1,1,2,No
C027,Energy,Uganda,1402695,High,Low,No,Closed,No,3,1,4,No
C028,Manufacturing,Uganda,2156692,High,Medium,No,Closed,Yes,3,2,5,Yes
C029,Construction,Tanzania,1639228,High,Medium,Yes,In Progress,No,3,2,5,Yes
C030,Construction,Rwanda,3593555,Medium,High,Yes,In Progress,No,2,3,5,Yes
C031,Energy,Uganda,2699103,Medium,Low,Yes,Not Started,Yes,2,1,3,No
C032,Construction,Kenya,1150567,Low,Medium,Yes,In Progress,No,1,2,3,No
C033,Construction,Rwanda,2335903,Low,Low,Yes,In Progress,No,1,1,2,No
C034,Agribusiness,Rwanda,3882065,High,Low,Yes,Not Started,No,3,1,4,No
C035,Energy,Kenya,4863296,High,Low,Yes,Closed,No,3,1,4,No
C036,Services,Uganda,99115,High,High,No,In Progress,No,3,3,6,Yes
C037,Energy,Kenya,3387690,High,Medium,No,Not Started,Yes,3,2,5,Yes
C038,Services,Rwanda,771747,Medium,Medium,Yes,Not Started,No,2,2,4,No
C039,Agribusiness,DRC,4780530,Medium,Low,Yes,In Progress,No,2,1,3,No
C040,Manufacturing,DRC,3099851,High,High,Yes,Not Started,No,3,3,6,Yes
C041,Construction,Tanzania,2873100,High,Low,Yes,Closed,Yes,3,1,4,No
C042,Agribusiness,Kenya,3034626,Low,High,No,In Progress,No,1,3,4,No
C043,Construction,Kenya,1454330,Medium,Low,Yes,In Progress,Yes,2,1,3,No
C044,Manufacturing,Tanzania,301492,Low,Low,Yes,In Progress,Yes,1,1,2,No
C045,Manufacturing,Tanzania,4085851,High,Low,Yes,Closed,No,3,1,4,No
C046,Agribusiness,Tanzania,541072,Medium,Low,Yes,In Progress,No,2,1,3,No
C047,Manufacturing,Rwanda,1136880,Low,Medium,Yes,In Progress,No,1,2,3,No
C048,Services,Kenya,4749303,Medium,Medium,No,In Progress,No,2,2,4,No
C049,Manufacturing,Rwanda,4575897,Medium,Low,Yes,Not Started,No,2,1,3,No
C050,Construction,Tanzania,2105723,Low,High,Yes,Closed,No,1,3,4,No
C051,Construction,Kenya,2298988,Low,Low,Yes,Closed,No,1,1,2,No
C052,Construction,Rwanda,4353244,Medium,Medium,No,In Progress,No,2,2,4,No
C053,Construction,Rwanda,1364093,Medium,High,No,Closed,No,2,3,5,Yes
C054,Services,Tanzania,2814673,Medium,Medium,Yes,Closed,Yes,2,2,4,No
C055,Energy,Kenya,3026242,Medium,Low,Yes,Closed,No,2,1,3,No
C056,Agribusiness,Tanzania,4630081,High,High,Yes,Closed,No,3,3,6,Yes
C057,Construction,Kenya,2698790,Medium,Medium,Yes,In Progress,No,2,2,4,No
C058,Manufacturing,DRC,3813024,Medium,Low,No,In Progress,No,2,1,3,No
C059,Construction,Uganda,2696791,High,Low,Yes,In Progress,No,3,1,4,No
C060,Manufacturing,Uganda,2760108,Medium,Medium,Yes,Closed,No,2,2,4,No
C061,Manufacturing,Uganda,4883177,Low,Medium,Yes,Not Started,No,1,2,3,No
C062,Construction,Tanzania,3403597,Low,Medium,Yes,Closed,No,1,2,3,No
C063,Services,DRC,115953,Medium,High,Yes,Closed,No,2,3,5,Yes
C064,Manufacturing,Kenya,4039618,Medium,Medium,Yes,Not Started,No,2,2,4,No
C065,Manufacturing,Rwanda,2647480,Medium,Low,Yes,Closed,No,2,1,3,No
C066,Construction,Kenya,4247571,Low,Low,Yes,Not Started,Yes,1,1,2,No
C067,Manufacturing,Rwanda,2972097,Low,Low,Yes,In Progress,No,1,1,2,No
C068,Manufacturing,Kenya,207164,Low,Medium,Yes,Closed,No,1,2,3,No
C069,Construction,DRC,4779930,Low,Low,Yes,Not Started,No,1,1,2,No
C070,Construction,Rwanda,2278636,Medium,Medium,Yes,Closed,Yes,2,2,4,No
C071,Agribusiness,Tanzania,581831,Low,Medium,Yes,Closed,No,1,2,3,No
C072,Services,Kenya,3039475,Medium,High,Yes,In Progress,No,2,3,5,Yes
C073,Services,Kenya,3256420,High,Low,Yes,Not Started,Yes,3,1,4,No
C074,Manufacturing,Rwanda,3415884,Low,High,Yes,Not Started,Yes,1,3,4,No
